cliente_id,idade,renda_mensal,tempo_conta_meses,num_produtos,tem_cartao_credito,score_credito,respondeu_campanha
1,56,46917.46,229,4,1,600.0,1
2,69,41274.41,9,3,0,758.2,0
3,46,40649.98,25,2,1,595.7,1
4,32,44336.79,217,5,1,584.3,0
5,60,35301.68,225,4,0,797.8,0
6,25,6115.8,2,1,0,734.5,0
7,78,20555.91,19,3,0,800.0,0
8,38,36434.32,238,5,1,420.0,1
9,56,14736.39,20,5,0,588.4,0
10,75,34682.91,234,4,1,763.4,1
11,36,2200.42,233,1,1,361.1,0
12,40,16000.73,234,2,1,737.1,0
13,28,27907.39,221,5,1,400.6,1
14,28,31972.4,70,5,0,744.5,1
15,41,29274.99,17,5,0,636.6,1
16,70,35190.06,124,5,1,406.3,1
17,53,1298.35,89,4,0,560.3,0
18,57,5946.12,230,1,1,675.0,1
19,41,43578.27,196,5,1,648.6,1
20,20,34405.68,94,2,0,535.0,1
21,39,6533.65,84,2,0,794.7,0
22,70,42261.65,131,3,1,585.6,0
23,19,12869.33,87,5,0,578.2,1
24,41,24434.73,51,5,1,334.2,0
25,61,8114.63,82,5,0,807.2,0
26,47,35795.39,154,5,1,397.4,1
27,55,33675.87,184,5,1,590.6,0
28,19,11344.51,228,2,0,742.0,1
29,77,43306.64,192,1,0,418.5,1
30,38,20664.0,8,1,1,590.1,0
31,50,15333.24,209,3,0,432.4,1
32,29,8464.15,223,2,0,717.8,0
33,75,14042.23,165,5,1,610.4,1
34,39,2079.32,237,1,1,770.8,1
35,78,29579.62,121,4,0,792.0,1
36,61,42269.31,225,4,0,656.8,0
37,42,27900.04,155,4,1,699.0,0
38,66,11744.42,173,5,1,602.1,1
39,44,2649.79,4,5,1,511.4,0
40,76,11516.78,86,3,1,656.5,0
41,80,21389.95,128,3,1,799.6,1
42,59,38220.96,218,3,1,529.2,0
43,45,10204.3,224,4,1,472.9,1
44,77,36269.78,216,5,1,513.6,1
45,33,43479.74,110,4,0,539.5,1
46,32,23243.4,99,3,0,340.5,1
47,79,41250.17,37,5,0,574.1,0
48,79,28178.21,224,2,1,571.9,1
49,64,32217.45,71,1,0,623.6,0
50,79,26787.64,33,1,1,499.6,1
51,68,23695.46,31,3,0,637.2,0
52,61,12498.02,183,4,1,783.0,1
53,72,15856.51,125,2,1,825.5,0
54,69,15208.54,12,5,0,621.0,1
55,74,28601.16,11,4,1,323.4,0
56,20,6877.73,88,3,0,833.1,0
57,54,45922.79,72,4,0,688.2,0
58,68,36312.1,32,3,0,484.8,1
59,24,20670.84,57,1,0,380.9,1
60,38,8772.58,166,1,0,378.9,0
61,26,44217.62,188,4,0,392.3,1
62,56,41365.13,86,2,0,325.1,1
63,35,36364.36,226,5,0,796.2,0
64,21,14305.81,19,3,0,597.4,1
65,42,20719.89,116,5,1,685.0,1
66,77,6034.66,212,1,1,755.5,0
67,31,10262.94,184,2,0,735.3,0
68,67,39367.82,14,2,1,785.4,1
69,75,36036.9,33,5,1,832.0,0
70,26,30080.8,10,1,0,541.5,0
71,43,44890.61,80,5,0,822.7,0
72,70,29580.06,192,4,1,697.8,1
73,19,23881.43,64,2,0,338.9,0
74,37,17678.17,190,2,0,675.0,0
75,45,47081.98,68,4,0,677.7,1
76,64,5053.06,219,1,1,798.2,1
77,77,46613.48,92,2,0,505.1,1
78,24,41509.02,125,3,1,621.7,0
79,61,7366.57,171,3,0,306.7,0
80,78,28684.23,80,1,0,482.6,0
81,25,43460.85,59,4,1,334.2,0
82,64,29018.65,180,5,0,587.0,0
83,52,45452.79,97,1,1,749.6,1
84,31,47206.21,240,5,1,413.5,1
85,34,21696.84,19,1,0,590.1,0
86,53,19488.37,149,3,0,412.2,0
87,67,46879.74,22,4,1,366.4,0
88,57,34081.86,9,3,1,581.0,1
89,21,6685.11,9,4,0,343.5,0
90,19,3072.3,201,5,0,623.0,0
91,79,28666.82,27,1,0,317.2,0
92,23,46578.38,17,2,0,358.7,0
93,71,42368.19,172,2,0,602.5,0
94,59,34116.54,45,4,1,625.3,1
95,21,7816.68,8,4,1,315.9,0
96,71,13457.34,208,3,1,615.4,1
97,46,43900.05,146,2,1,761.2,1
98,80,9957.55,125,3,0,697.3,1
99,35,14643.53,123,5,1,372.2,1
100,43,7350.43,33,2,0,625.9,0
101,61,34129.3,1,5,0,669.7,0
102,51,47255.13,204,1,0,320.5,0
103,27,14179.43,6,3,0,770.4,1
104,79,24294.92,41,4,0,798.4,0
105,53,32082.65,183,2,1,767.7,1
106,31,49973.85,5,3,0,753.5,1
107,48,6135.6,187,4,0,709.7,1
108,65,25429.97,80,1,0,648.4,1
109,32,19870.89,18,2,1,673.2,0
110,25,43425.19,177,5,0,743.5,1
111,31,24322.42,82,1,0,664.4,1
112,40,6437.9,65,4,0,480.2,0
113,77,32086.78,83,2,1,506.8,1
114,74,38768.25,182,2,0,793.4,0
115,79,1141.18,189,1,1,309.4,0
116,57,43088.88,136,2,1,684.4,1
117,38,10115.13,131,4,0,825.1,0
118,33,28051.4,25,1,1,688.4,1
119,62,21374.08,69,5,1,846.7,1
120,35,36263.04,183,1,0,678.1,1
121,64,19186.92,168,1,0,318.9,0
122,70,43618.4,211,5,0,754.9,1
123,41,36794.32,82,4,0,456.5,1
